dataset,iteration,run,mae,cost
14x,90,8,3.587294816970825,142565184
14x,90,9,6.527283668518066,143026560
14x,90,10,7.612168788909912,142132644
14x,90,11,12.353815078735352,145333440
14x,90,12,8.757601737976074,143689788
14x,90,13,4.353333473205566,143415846
14x,90,14,3.1421425342559814,144381852
14x,90,15,4.162060737609863,142392168
14x,90,16,5.578689098358154,143718624
14x,90,17,4.717137336730957,142983306
14x,90,18,9.247086524963379,142767036
14x,90,19,5.143446922302246,144165582
14x,90,20,11.004215240478516,143502354
14x,90,21,6.415318489074707,147957516
14x,90,22,7.0061540603637695,143012142
14x,90,23,7.346704006195068,142118226
14x,90,24,3.877581834793091,145722726
14x,90,25,8.232126235961914,144915318
14x,90,26,4.41152286529541,142853544
14x,90,27,4.511324882507324,142867962
14x,90,28,3.725609302520752,144381852
14x,90,29,5.11324405670166,141700104
14x,95,0,3.5287232398986816,153056628
14x,95,1,6.314757347106934,151868844
14x,95,2,4.9646196365356445,151747020
14x,95,3,5.223410129547119,150879024
14x,95,4,4.738648414611816,152249544
14x,95,5,8.168803215026855,152995716
14x,95,6,5.3328046798706055,153010944
14x,95,7,7.813429355621338,152904348
14x,95,8,8.435877799987793,153193680
14x,95,9,11.605966567993164,151655652
14x,95,10,6.525284767150879,153894168
14x,95,11,3.4882168769836426,154229184
14x,95,12,4.877434730529785,152051580
14x,95,13,6.4858880043029785,152249544
14x,95,14,9.247639656066895,149904432
14x,95,15,6.038261413574219,152508420
14x,95,16,5.48710298538208,150132852
14x,95,17,7.669859409332275,150041484
14x,95,18,9.724615097045898,152264772
14x,95,19,3.822918653488159,152736840
14x,95,20,2.5668962001800537,149843520
14x,95,21,3.5091240406036377,152417052
14x,95,22,6.515071868896484,155736756
14x,95,23,3.6534323692321777,152615016
14x,95,24,7.2409257888793945,152340912
14x,95,25,6.8998236656188965,152249544
14x,95,26,4.381447792053223,148990752
14x,95,27,5.958591938018799,152356140
14x,95,28,3.195146322250366,149417136
14x,95,29,7.37536096572876,151351092
7x,10,0,11.987142562866211,25575264
7x,10,1,7.297362327575684,26002944
7x,10,2,6.577306270599365,25964064
7x,10,3,7.872077941894531,26015904
7x,10,4,14.71031379699707,25645248
7x,10,5,11.118605613708496,25798176
7x,10,6,13.968104362487793,25772256
7x,10,7,12.53738021850586,25842240
7x,10,8,10.670761108398438,26192160
7x,10,9,10.54423713684082,25808544
7x,10,10,10.450657844543457,26186976
7x,10,11,8.185938835144043,25795584
7x,10,12,9.725322723388672,25746336
7x,10,13,6.443255424499512,25318656
7x,10,14,11.352235794067383,26223264
7x,10,15,128.0,25453440
7x,10,16,7.778688907623291,25847424
7x,10,17,13.87542724609375,25357536
7x,10,18,11.04747486114502,25777440
7x,10,19,8.05048942565918,25824096
7x,10,20,12.014504432678223,25831872
7x,10,21,12.799338340759277,26039232
7x,10,22,8.858745574951172,26389152
7x,10,23,8.250351905822754,25803360
7x,10,24,6.317721366882324,25728192
7x,10,25,7.6288628578186035,26067744
7x,10,26,8.953985214233398,26192160
7x,10,27,10.173303604125977,25751520
7x,10,28,15.436413764953613,25907040
7x,10,29,7.594337463378906,25468992
7x,15,0,7.15686559677124,40642560
7x,15,1,8.451720237731934,40489344
7x,15,2,5.505650520324707,40287744
7x,15,3,5.3228759765625,40428864
7x,15,4,4.360121726989746,40590144
7x,15,5,8.295965194702148,40807872
7x,15,6,4.678455352783203,40549824
7x,15,7,9.44099235534668,40110336
7x,15,8,5.145047664642334,40541760
7x,15,9,11.076812744140625,40440960
7x,15,10,4.541678428649902,40501440
7x,15,11,7.377508640289307,41509440
7x,15,12,8.595254898071289,40061952
7x,15,13,5.139543533325195,40150656
7x,15,14,4.127291202545166,39973248
7x,15,15,4.170467376708984,40533696
7x,15,16,2.657034158706665,39912768
7x,15,17,3.144573211669922,40420800
7x,15,18,8.128103256225586,40299840
7x,15,19,6.8162736892700195,40440960
7x,15,20,8.864553451538086,40025664
7x,15,21,7.40945291519165,40908672
7x,15,22,9.48179817199707,40525632
7x,15,23,4.843358039855957,39364416
7x,15,24,2.480119228363037,39985344
7x,15,25,6.88006591796875,40009536
7x,15,26,7.995507717132568,39787776
7x,15,27,7.983604431152344,40223232
7x,15,28,4.96543025970459,39880512
7x,15,29,4.749352931976318,40114368
7x,20,0,3.48968505859375,53860896
7x,20,1,7.054591178894043,54845856
7x,20,2,2.340594530105591,54988128
7x,20,3,2.399712085723877,54922464
7x,20,4,7.145058631896973,54517536
7x,20,5,6.0334272384643555,53636544
7x,20,6,6.524341583251953,54118080
7x,20,7,3.043229579925537,55600992
7x,20,8,3.004133939743042,54468288
7x,20,9,6.111699104309082,54588672
7x,20,10,3.415576934814453,55278144
7x,20,11,4.5273895263671875,54178272
7x,20,12,2.6360697746276855,54993600
7x,20,13,7.474584102630615,54435456
7x,20,14,3.3196518421173096,54823968
7x,20,15,3.0682897567749023,54320544
7x,20,16,2.589172840118408,55146816
7x,20,17,3.115056276321411,53806176
