ARI,NMI,Silhouette Score,MAE,Communication Cost,Index,TotalIterations
0.7200831546051133,0.8666971479873494,0.5367743,13.618131637573242,9729234,11,7
0.6397291036701995,0.8314102692419645,0.56695116,18.04684066772461,9628632,12,7
0.7256560642069311,0.8574883571585264,0.4818853,17.297367095947266,9720000,13,7
0.7270129706053392,0.8585184790887143,0.46487096,12.819124221801758,9679662,14,7
0.7569648475410904,0.8669091817729941,0.4869653,12.461525917053223,9814770,15,7
0.845097135266516,0.9207164086291644,0.6068906,11.362290382385254,9632520,16,7
0.715220335571823,0.8426802553338515,0.46499765,12.535183906555176,9746730,17,7
0.7159437405481756,0.8648809428126777,0.5557081,14.228619575500488,9677232,18,7
0.6112608125494824,0.8047339989669465,0.4461646,22.360950469970703,9740412,19,7
0.6498526056571103,0.8036106767290798,0.4114851,18.392024993896484,9735066,20,7
0.7100708811538456,0.8323523554549095,0.47470063,17.082590103149414,9673830,21,7
0.8481397379668381,0.9367589961455082,0.6991003,10.615922927856445,9607248,22,7
0.7744613874922256,0.884466293204964,0.5824312,8.988850593566895,9697644,23,7
0.7878872666889531,0.873075156642905,0.44866657,11.826024055480957,9754506,24,7
0.8108607150463384,0.9077273548031415,0.6073412,11.032819747924805,9676746,25,7
0.6253180823697169,0.7861013682056145,0.2669901,18.590065002441406,9674802,26,7
0.7945610247484461,0.8776853640194633,0.5546102,13.660873413085938,9695700,27,7
0.8827647333611628,0.9354881837886622,0.59946644,11.464345932006836,9658278,28,7
0.6091315947780914,0.7875208312349853,0.26926562,19.346956253051758,9794844,29,7
0.6359976270263052,0.7946544802897342,0.39055133,14.786970138549805,9687924,30,7
0.8598978293163916,0.9302604595398059,0.65967745,8.50871467590332,14518035,1,10
0.7722252442680095,0.8976965232837629,0.6169069,10.150510787963867,14524596,2,10
0.8181421503397597,0.8908665319646916,0.5986437,8.78028392791748,14745483,3,10
0.7871126240847603,0.8729632576086448,0.54808176,11.572077751159668,14506371,4,10
0.8812326479881274,0.9433898472778706,0.6552824,10.739145278930664,14659461,5,10
0.766131173130694,0.8961345593061983,0.50157034,11.609414100646973,14367132,6,10
0.8645724393415638,0.9235206901762928,0.5993475,10.591461181640625,14619366,7,10
0.7486291928281885,0.8789761473074706,0.5671119,8.44672679901123,14526054,8,10
0.8469960627939546,0.9187656276568895,0.5913904,7.84061336517334,14398479,9,10
0.7634694662100391,0.883372311186254,0.57326347,17.017629623413086,14578542,10,10
0.9826005398302985,0.9846046743022487,0.76435584,4.242623329162598,14302251,11,10
0.7100091326595743,0.8513384017191853,0.47195098,13.459543228149414,14658003,12,10
0.7880370060549228,0.899836187449827,0.65010166,16.616567611694336,14479398,13,10
0.9127857281034859,0.9404108386951461,0.6429356,7.1720991134643555,14615721,14,10
0.8479022372747848,0.9198953359692188,0.54755557,7.2902069091796875,14469192,15,10
0.8447421555658726,0.925536382856564,0.6290559,7.529771327972412,14587290,16,10
0.8397430679831881,0.9087415655680359,0.5714199,7.038926601409912,14503455,17,10
0.8937973682502981,0.9307096230090871,0.66695595,6.516253471374512,14501997,18,10
0.9978083544905418,0.9975661811742191,0.7701941,5.228235244750977,14528241,19,10
0.8852649212164505,0.9284252267610772,0.6642145,6.07027530670166,14531886,20,10
